"STNAME","CTYNAME","TOT_POP","Pmale","Pwhite","Pblack","Pasian","Phispanic","Page1","Page2","Page3","Page4","Page5","Page6","Page7","Page8","Page9","Page10","Page11","Page12","Page13","Page14","Page15","Page16","Page17","Page18"
"Washington","Adams County",19759,0.506553975403614,0.888860772306291,0.0202945493192975,0.0131585606559036,0.642998127435599,0.0965129814261855,0.108102636773116,0.0977782276430993,0.0817855154613088,0.068981223746141,0.0631104812996609,0.0623007237208361,0.057442178247887,0.0541019282352346,0.0520775342881725,0.0485348448808138,0.0492939926109621,0.0493952123083152,0.0382104357507971,0.029404322081077,0.018776253859001,0.0119439242876664,0.0122475833797257
"Washington","Asotin County",22610,0.487527642636002,0.932330827067669,0.00778416629809819,0.0100398053958425,0.0417956656346749,0.0515258735072977,0.0556833259619637,0.0594427244582043,0.0546660769570986,0.0455992923485184,0.0589562140645732,0.0567890314020345,0.0576293675364883,0.0546660769570986,0.0555506413091552,0.0591331269349845,0.0747456877487837,0.0824413976116763,0.0696594427244582,0.0582043343653251,0.045687748783724,0.0307386112339673,0.0288810260946484
"Washington","Benton County",201877,0.501047667639206,0.900850517889606,0.0179713389836386,0.0326485929551162,0.222506773926698,0.071667401437509,0.0761750967173081,0.0757689087909965,0.0676699178212476,0.0599523472213278,0.0680711522362627,0.0684674331399813,0.0683237813123833,0.0579709427027348,0.0567375183899107,0.0573368932567851,0.0623993818017902,0.0603733956815289,0.0514818429043427,0.0384293406381113,0.026065376442091,0.0164803320833973,0.0166289374222918
"Washington","Chelan County",77036,0.500038942831923,0.931694272807519,0.00935926060543123,0.0125525728230957,0.282880731086765,0.0625681499558648,0.0668778233553144,0.065164338750714,0.0617633314294615,0.0569344202710421,0.0641907679526455,0.0609065891271613,0.062633054675736,0.0553507451061841,0.0539617841009398,0.0584921335479516,0.0683706319123527,0.0720182771691157,0.0639830728490576,0.0483280544161171,0.0327639025909964,0.0217301002128875,0.0239628225764578
"Washington","Clallam County",76737,0.493138903006372,0.871548275277897,0.0117414024525327,0.0187002358705709,0.0642845042156978,0.046053403182298,0.0486988024030129,0.0468483261008379,0.0454539531125793,0.0449066291358797,0.0551103118443515,0.0538071595188762,0.0529601105073172,0.0467440739147999,0.0480341947170205,0.052334597391089,0.0736541694358654,0.0893180603880788,0.0953516556550295,0.0777069731680936,0.0549148389955302,0.0335301093344801,0.0345726311948604
"Washington","Clark County",481857,0.494167356705413,0.864358097941921,0.0232703893478771,0.0490913279250898,0.0995834863870401,0.0613439256874965,0.066135803775809,0.0698298457841227,0.0649653320383433,0.0577993056031146,0.0676424748421212,0.0653015313671899,0.0681488491398901,0.0653368115436737,0.0669513984439367,0.0639359810068132,0.0664761537136536,0.0614601427394434,0.0546489933735527,0.0422864044726963,0.0266821899443196,0.0154091359054657,0.0156457206183577
"Washington","Columbia County",4059,0.48829761024883,0.914510963291451,0.00689825080068983,0.0133037694013304,0.0783444198078344,0.0505050505050505,0.052229613205223,0.0519832471051983,0.0502586844050259,0.0428677014042868,0.0537078098053708,0.0473022912047302,0.0554323725055432,0.0418822370041882,0.0539541759053954,0.0647942843064794,0.0773589554077359,0.0790835181079084,0.0891845282089185,0.0679970436067997,0.0542005420054201,0.0344912540034491,0.0327666913032767
"Washington","Cowlitz County",108987,0.494903061833063,0.91083340214888,0.0111114169579858,0.0163597493279015,0.0915246772550855,0.0619248167212603,0.0631818473762926,0.0642645453127437,0.061401818565517,0.0539330378852524,0.0652554891867837,0.0579610412251002,0.0606861368787103,0.0577133052565902,0.0608788204097736,0.0614109939717581,0.0706414526503161,0.0714947654307394,0.0622734821584226,0.0511987668254012,0.0349032453411875,0.020360226449026,0.0205162083551249
"Washington","Douglas County",42907,0.506677232153262,0.930011420048011,0.00818048337101172,0.0112335982473722,0.321019880206027,0.0655137856293845,0.0734845130165241,0.0753490106509427,0.0678444076724078,0.0594308620970937,0.0623208334304426,0.0625772018551752,0.061365278392803,0.0579159577691286,0.0573333022583728,0.0551891299787913,0.0625305894143147,0.063462838231524,0.0555387232852448,0.0467755844034773,0.0329083832474888,0.0202764117743026,0.0201831868925816
"Washington","Ferry County",7649,0.511047195711858,0.757092430383057,0.00705974637207478,0.00980520329454831,0.0502026408680873,0.047980128121323,0.0477186560334684,0.0473264479016865,0.0577853314158714,0.0477186560334684,0.044188782847431,0.0434043665838672,0.0471957118577592,0.0532095698784155,0.0606615243822722,0.0585697476794352,0.0794875147078049,0.092561119100536,0.104196627010067,0.0698130474571839,0.0524251536148516,0.0227480716433521,0.0230095437312067
"Washington","Franklin County",94347,0.516730791652093,0.899329072466533,0.0291795181616798,0.0242403044081953,0.53479177928286,0.0897325829120163,0.093039524309199,0.0907925000264979,0.0779463045989804,0.0670927533466883,0.0759324620814652,0.0791970067940687,0.0751163259033144,0.0634042417882922,0.0565253797153063,0.0495405259308722,0.0457248243187383,0.0438063743415265,0.0343201161669157,0.0248974530191739,0.0153264014754046,0.00916828304026625,0.00843694023127391
"Washington","Garfield County",2247,0.489096573208723,0.934579439252336,0.000890075656430797,0.0284824210057855,0.0542946150422786,0.0712060525144637,0.0511793502447708,0.0551846906987094,0.0511793502447708,0.0445037828215398,0.0356030262572319,0.0507343124165554,0.0529595015576324,0.063640409434802,0.0520694259012016,0.0542946150422786,0.0712060525144637,0.0921228304405874,0.0832220738762795,0.0663106364040943,0.0333778371161549,0.0333778371161549,0.0378282153983089
