SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
050,15,001,Hawaii,Hawaii County,1,0,185079,92821,92258,33276,31143,668,423,506,495,19811,21999,11746,11184,26814,27014,52612,50816,1682,1381,3707,3797,40607,42968,31764,31382,82101,81595,30047,28007,574,335,300,291,18814,21018,10838,10318,21528,21626,45416,43641,1349,1025,2382,2486,35434,37764,26909,26516,10720,10663,3229,3136,94,88,206,204,997,981,908,866,5286,5388,7196,7175,333,356,1325,1311,5173,5204,4855,4866
050,15,001,Hawaii,Hawaii County,1,1,11845,6037,5808,1020,985,27,15,13,17,679,626,1089,1050,3209,3115,3492,3430,207,174,425,402,3354,3192,3640,3514,4707,4483,787,741,19,6,10,6,606,565,980,926,2305,2239,2561,2496,138,106,221,206,2522,2424,2787,2686,1330,1325,233,244,8,9,3,11,73,61,109,124,904,876,931,934,69,68,204,196,832,768,853,828
050,15,001,Hawaii,Hawaii County,1,2,11478,5945,5533,1084,957,17,25,20,22,765,723,1036,965,3023,2841,3374,3079,165,179,404,360,3233,3083,3409,3169,4717,4410,853,747,9,16,16,11,695,661,928,864,2216,2111,2537,2327,122,124,220,202,2511,2415,2646,2485,1228,1123,231,210,8,9,4,11,70,62,108,101,807,730,837,752,43,55,184,158,722,668,763,684
050,15,001,Hawaii,Hawaii County,1,3,11521,5906,5615,1160,1135,41,29,28,32,961,806,951,814,2765,2799,3290,3321,150,167,338,362,3219,3036,3061,2948,4859,4567,964,916,33,25,16,18,897,748,862,743,2087,2117,2563,2575,120,128,207,233,2583,2423,2430,2328,1047,1048,196,219,8,4,12,14,64,58,89,71,678,682,727,746,30,39,131,129,636,613,631,620
050,15,001,Hawaii,Hawaii County,1,4,12089,6288,5801,1338,1217,39,43,24,27,1112,993,873,941,2902,2580,3527,3138,145,139,367,338,3476,3097,3023,2870,5205,4804,1130,1004,30,36,13,14,1026,925,780,845,2226,1980,2800,2470,107,105,216,204,2826,2543,2415,2308,1083,997,208,213,9,7,11,13,86,68,93,96,676,600,727,668,38,34,151,134,650,554,608,562
050,15,001,Hawaii,Hawaii County,1,5,10833,5554,5279,1430,1257,40,36,44,29,972,966,930,868,2138,2123,2989,2778,105,115,251,258,2672,2592,2559,2524,4739,4454,1182,1058,32,23,26,14,906,904,861,798,1732,1657,2450,2239,83,79,164,160,2272,2167,2168,2104,815,825,248,199,8,13,18,15,66,62,69,70,406,466,539,539,22,36,87,98,400,425,391,420
050,15,001,Hawaii,Hawaii County,1,6,11290,5628,5662,1734,1615,36,23,25,40,892,1001,932,875,2009,2108,3127,3126,130,87,231,252,2467,2703,2441,2445,4865,4858,1492,1371,30,16,18,26,821,940,850,798,1654,1707,2622,2578,104,62,152,164,2142,2328,2114,2085,763,804,242,244,6,7,7,14,71,61,82,77,355,401,505,548,26,25,79,88,325,375,327,360
050,15,001,Hawaii,Hawaii County,1,7,10935,5515,5420,1810,1636,47,30,38,33,951,1072,853,808,1816,1841,3106,2925,102,70,269,248,2310,2531,2176,2183,4768,4672,1558,1366,39,18,16,21,906,1004,775,748,1474,1515,2605,2428,86,44,168,163,2010,2215,1850,1901,747,748,252,270,8,12,22,12,45,68,78,60,342,326,501,497,16,26,101,85,300,316,326,282
050,15,001,Hawaii,Hawaii County,1,8,10485,5276,5209,1810,1586,39,38,44,50,1130,1287,759,683,1494,1565,2850,2715,87,70,200,246,2231,2477,1847,1829,4653,4558,1563,1378,36,35,25,31,1053,1215,711,632,1265,1267,2442,2280,72,64,145,164,1979,2173,1642,1578,623,651,247,208,3,3,19,19,77,72,48,51,229,298,408,435,15,6,55,82,252,304,205,251
050,15,001,Hawaii,Hawaii County,1,9,10897,5475,5422,2120,1809,45,26,38,30,1162,1500,700,627,1410,1430,3082,2819,87,64,199,199,2214,2584,1712,1672,4910,4818,1901,1597,37,21,25,16,1102,1427,656,586,1189,1171,2697,2424,71,47,138,130,1993,2312,1537,1455,565,604,219,212,8,5,13,14,60,73,44,41,221,259,385,395,16,17,61,69,221,272,175,217
