SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
050,15,001,Hawaii,Hawaii County,1,10,12657,6262,6395,2504,2465,64,24,49,43,1470,1632,782,756,1393,1475,3440,3471,95,68,218,241,2479,2704,1801,1808,5667,5859,2257,2260,59,23,23,27,1406,1568,728,712,1194,1269,3045,3125,86,59,137,182,2280,2489,1627,1621,595,536,247,205,5,1,26,16,64,64,54,44,199,206,395,346,9,9,81,59,199,215,174,187
050,15,001,Hawaii,Hawaii County,1,11,14866,7366,7500,3208,3301,88,29,49,50,1843,1933,852,746,1326,1441,4083,4287,114,59,222,276,2810,2982,1791,1748,6820,6914,2977,3072,78,25,32,29,1762,1850,806,698,1165,1240,3748,3911,98,51,160,199,2616,2759,1646,1582,546,586,231,229,10,4,17,21,81,83,46,48,161,201,335,376,16,8,62,77,194,223,145,166
050,15,001,Hawaii,Hawaii County,1,12,15807,7836,7971,4042,3955,57,40,50,48,1892,2007,657,677,1138,1244,4776,4814,101,77,235,238,2694,2870,1447,1551,7393,7515,3836,3741,50,35,32,28,1824,1954,626,648,1025,1109,4488,4500,84,62,186,179,2548,2733,1352,1433,443,456,206,214,7,5,18,20,68,53,31,29,113,135,288,314,17,15,49,59,146,137,95,118
050,15,001,Hawaii,Hawaii County,1,13,13542,7103,6439,4036,3348,60,22,26,34,1615,1730,483,425,883,880,4625,3984,91,43,154,174,2188,2307,1087,1019,6736,6115,3846,3193,58,19,13,23,1554,1661,459,406,806,813,4375,3779,86,36,117,144,2082,2197,1023,957,367,324,190,155,2,3,13,11,61,69,24,19,77,67,250,205,5,7,37,30,106,110,64,62
050,15,001,Hawaii,Hawaii County,1,14,9178,4731,4447,2528,2194,37,15,28,15,1231,1288,361,323,546,612,2880,2606,54,26,88,92,1606,1704,758,774,4490,4230,2409,2082,34,14,16,12,1191,1252,345,316,495,554,2717,2447,45,22,66,74,1538,1627,717,737,241,217,119,112,3,1,12,3,40,36,16,7,51,58,163,159,9,4,22,18,68,77,41,37
050,15,001,Hawaii,Hawaii County,1,15,5830,2842,2988,1403,1254,13,15,15,10,869,1077,213,248,329,384,1623,1513,20,20,54,47,1097,1346,437,516,2716,2817,1350,1175,12,13,9,5,846,1037,202,240,297,347,1548,1409,19,17,44,38,1049,1278,405,486,126,171,53,79,1,2,6,5,23,40,11,8,32,37,75,104,1,3,10,9,48,68,32,30
050,15,001,Hawaii,Hawaii County,1,16,4571,2102,2469,958,898,7,6,11,6,766,1089,148,176,212,294,1107,1092,11,12,29,25,899,1299,303,404,1993,2346,895,845,7,5,7,3,746,1063,142,165,196,265,1033,1017,10,10,23,16,868,1254,286,377,109,123,63,53,0,1,4,3,20,26,6,11,16,29,74,75,1,2,6,9,31,45,17,27
050,15,001,Hawaii,Hawaii County,1,17,3652,1575,2077,620,715,9,5,2,4,718,1068,81,115,145,170,714,823,15,6,14,25,824,1179,175,243,1520,2011,595,680,9,4,1,4,702,1056,81,108,132,159,681,782,15,5,10,19,798,1161,170,232,55,66,25,35,0,1,1,0,16,12,0,7,13,11,33,41,0,1,4,6,26,18,5,11
050,15,001,Hawaii,Hawaii County,1,18,3603,1380,2223,471,816,2,2,2,5,783,1201,46,87,76,112,527,895,3,5,9,14,834,1282,97,165,1343,2164,452,781,2,1,2,3,771,1188,46,85,70,106,504,854,3,4,8,9,817,1266,94,161,37,59,19,35,0,1,0,2,12,13,0,2,6,6,23,41,0,1,1,5,17,16,3,4
050,15,001,Hawaii,Hawaii County,2,0,185076,92819,92257,33275,31143,668,423,506,495,19811,21999,11746,11184,26813,27013,52610,50815,1682,1381,3707,3796,40606,42967,31763,31381,82099,81594,30046,28007,574,335,300,291,18814,21018,10838,10318,21527,21625,45414,43640,1349,1025,2382,2485,35433,37763,26908,26515,10720,10663,3229,3136,94,88,206,204,997,981,908,866,5286,5388,7196,7175,333,356,1325,1311,5173,5204,4855,4866
050,15,001,Hawaii,Hawaii County,2,1,11845,6037,5808,1020,985,27,15,13,17,679,626,1089,1050,3209,3115,3492,3430,207,174,425,402,3354,3192,3640,3514,4707,4483,787,741,19,6,10,6,606,565,980,926,2305,2239,2561,2496,138,106,221,206,2522,2424,2787,2686,1330,1325,233,244,8,9,3,11,73,61,109,124,904,876,931,934,69,68,204,196,832,768,853,828
050,15,001,Hawaii,Hawaii County,2,2,11478,5945,5533,1084,957,17,25,20,22,765,723,1036,965,3023,2841,3374,3079,165,179,404,360,3233,3083,3409,3169,4717,4410,853,747,9,16,16,11,695,661,928,864,2216,2111,2537,2327,122,124,220,202,2511,2415,2646,2485,1228,1123,231,210,8,9,4,11,70,62,108,101,807,730,837,752,43,55,184,158,722,668,763,684
050,15,001,Hawaii,Hawaii County,2,3,11521,5906,5615,1160,1135,41,29,28,32,961,806,951,814,2765,2799,3290,3321,150,167,338,362,3219,3036,3061,2948,4859,4567,964,916,33,25,16,18,897,748,862,743,2087,2117,2563,2575,120,128,207,233,2583,2423,2430,2328,1047,1048,196,219,8,4,12,14,64,58,89,71,678,682,727,746,30,39,131,129,636,613,631,620
050,15,001,Hawaii,Hawaii County,2,4,12089,6288,5801,1338,1217,39,43,24,27,1112,993,873,941,2902,2580,3527,3138,145,139,367,338,3476,3097,3023,2870,5205,4804,1130,1004,30,36,13,14,1026,925,780,845,2226,1980,2800,2470,107,105,216,204,2826,2543,2415,2308,1083,997,208,213,9,7,11,13,86,68,93,96,676,600,727,668,38,34,151,134,650,554,608,562
050,15,001,Hawaii,Hawaii County,2,5,10833,5554,5279,1430,1257,40,36,44,29,972,966,930,868,2138,2123,2989,2778,105,115,251,258,2672,2592,2559,2524,4739,4454,1182,1058,32,23,26,14,906,904,861,798,1732,1657,2450,2239,83,79,164,160,2272,2167,2168,2104,815,825,248,199,8,13,18,15,66,62,69,70,406,466,539,539,22,36,87,98,400,425,391,420
050,15,001,Hawaii,Hawaii County,2,6,11290,5628,5662,1734,1615,36,23,25,40,892,1001,932,875,2009,2108,3127,3126,130,87,231,252,2467,2703,2441,2445,4865,4858,1492,1371,30,16,18,26,821,940,850,798,1654,1707,2622,2578,104,62,152,164,2142,2328,2114,2085,763,804,242,244,6,7,7,14,71,61,82,77,355,401,505,548,26,25,79,88,325,375,327,360
050,15,001,Hawaii,Hawaii County,2,7,10935,5515,5420,1810,1636,47,30,38,33,951,1072,853,808,1816,1841,3106,2925,102,70,269,248,2310,2531,2176,2183,4768,4672,1558,1366,39,18,16,21,906,1004,775,748,1474,1515,2605,2428,86,44,168,163,2010,2215,1850,1901,747,748,252,270,8,12,22,12,45,68,78,60,342,326,501,497,16,26,101,85,300,316,326,282
050,15,001,Hawaii,Hawaii County,2,8,10485,5276,5209,1810,1586,39,38,44,50,1130,1287,759,683,1494,1565,2850,2715,87,70,200,246,2231,2477,1847,1829,4653,4558,1563,1378,36,35,25,31,1053,1215,711,632,1265,1267,2442,2280,72,64,145,164,1979,2173,1642,1578,623,651,247,208,3,3,19,19,77,72,48,51,229,298,408,435,15,6,55,82,252,304,205,251
050,15,001,Hawaii,Hawaii County,2,9,10896,5474,5422,2120,1809,45,26,38,30,1162,1500,700,627,1409,1430,3081,2819,87,64,199,199,2213,2584,1711,1672,4909,4818,1901,1597,37,21,25,16,1102,1427,656,586,1188,1171,2696,2424,71,47,138,130,1992,2312,1536,1455,565,604,219,212,8,5,13,14,60,73,44,41,221,259,385,395,16,17,61,69,221,272,175,217
050,15,001,Hawaii,Hawaii County,2,10,12657,6262,6395,2504,2465,64,24,49,43,1470,1632,782,756,1393,1475,3440,3471,95,68,218,241,2479,2704,1801,1808,5667,5859,2257,2260,59,23,23,27,1406,1568,728,712,1194,1269,3045,3125,86,59,137,182,2280,2489,1627,1621,595,536,247,205,5,1,26,16,64,64,54,44,199,206,395,346,9,9,81,59,199,215,174,187
050,15,001,Hawaii,Hawaii County,2,11,14866,7366,7500,3208,3301,88,29,49,50,1843,1933,852,746,1326,1441,4083,4287,114,59,222,276,2810,2982,1791,1748,6820,6914,2977,3072,78,25,32,29,1762,1850,806,698,1165,1240,3748,3911,98,51,160,199,2616,2759,1646,1582,546,586,231,229,10,4,17,21,81,83,46,48,161,201,335,376,16,8,62,77,194,223,145,166
050,15,001,Hawaii,Hawaii County,2,12,15806,7835,7971,4041,3955,57,40,50,48,1892,2007,657,677,1138,1244,4775,4814,101,77,235,238,2694,2870,1447,1551,7392,7515,3835,3741,50,35,32,28,1824,1954,626,648,1025,1109,4487,4500,84,62,186,179,2548,2733,1352,1433,443,456,206,214,7,5,18,20,68,53,31,29,113,135,288,314,17,15,49,59,146,137,95,118
050,15,001,Hawaii,Hawaii County,2,13,13542,7103,6439,4036,3348,60,22,26,34,1615,1730,483,425,883,880,4625,3984,91,43,154,174,2188,2307,1087,1019,6736,6115,3846,3193,58,19,13,23,1554,1661,459,406,806,813,4375,3779,86,36,117,144,2082,2197,1023,957,367,324,190,155,2,3,13,11,61,69,24,19,77,67,250,205,5,7,37,30,106,110,64,62
050,15,001,Hawaii,Hawaii County,2,14,9177,4731,4446,2528,2194,37,15,28,15,1231,1288,361,323,546,611,2880,2605,54,26,88,91,1606,1703,758,773,4490,4229,2409,2082,34,14,16,12,1191,1252,345,316,495,553,2717,2446,45,22,66,73,1538,1626,717,736,241,217,119,112,3,1,12,3,40,36,16,7,51,58,163,159,9,4,22,18,68,77,41,37
050,15,001,Hawaii,Hawaii County,2,15,5830,2842,2988,1403,1254,13,15,15,10,869,1077,213,248,329,384,1623,1513,20,20,54,47,1097,1346,437,516,2716,2817,1350,1175,12,13,9,5,846,1037,202,240,297,347,1548,1409,19,17,44,38,1049,1278,405,486,126,171,53,79,1,2,6,5,23,40,11,8,32,37,75,104,1,3,10,9,48,68,32,30
050,15,001,Hawaii,Hawaii County,2,16,4571,2102,2469,958,898,7,6,11,6,766,1089,148,176,212,294,1107,1092,11,12,29,25,899,1299,303,404,1993,2346,895,845,7,5,7,3,746,1063,142,165,196,265,1033,1017,10,10,23,16,868,1254,286,377,109,123,63,53,0,1,4,3,20,26,6,11,16,29,74,75,1,2,6,9,31,45,17,27
050,15,001,Hawaii,Hawaii County,2,17,3652,1575,2077,620,715,9,5,2,4,718,1068,81,115,145,170,714,823,15,6,14,25,824,1179,175,243,1520,2011,595,680,9,4,1,4,702,1056,81,108,132,159,681,782,15,5,10,19,798,1161,170,232,55,66,25,35,0,1,1,0,16,12,0,7,13,11,33,41,0,1,4,6,26,18,5,11
050,15,001,Hawaii,Hawaii County,2,18,3603,1380,2223,471,816,2,2,2,5,783,1201,46,87,76,112,527,895,3,5,9,14,834,1282,97,165,1343,2164,452,781,2,1,2,3,771,1188,46,85,70,106,504,854,3,4,8,9,817,1266,94,161,37,59,19,35,0,1,0,2,12,13,0,2,6,6,23,41,0,1,1,5,17,16,3,4
050,15,001,Hawaii,Hawaii County,3,0,185358,92895,92463,33198,31118,677,436,499,500,19812,22057,11803,11228,26906,27124,52923,51022,2185,1775,4558,4523,40335,42963,31379,31335,82090,81741,29948,27977,581,343,297,295,18816,21075,10881,10361,21567,21690,45611,43799,1620,1226,2447,2427,35210,37727,26527,26440,10805,10722,3250,3141,96,93,202,205,996,982,922,867,5339,5434,7312,7223,565,549,2111,2096,5125,5236,4852,4895
050,15,001,Hawaii,Hawaii County,3,1,11866,6049,5817,1028,999,29,21,13,20,679,631,1091,1038,3209,3108,3617,3519,340,296,539,540,3437,3319,3554,3401,4676,4468,787,752,20,9,10,8,602,566,974,911,2283,2222,2645,2565,213,174,207,213,2551,2496,2650,2549,1373,1349,241,247,9,12,3,12,77,65,117,127,926,886,972,954,127,122,332,327,886,823,904,852
050,15,001,Hawaii,Hawaii County,3,2,11469,5946,5523,1068,946,18,25,19,21,770,718,1037,976,3034,2837,3436,3142,262,258,466,439,3377,3167,3336,3134,4714,4394,839,738,10,15,16,11,697,657,929,873,2223,2100,2571,2373,169,172,189,190,2619,2466,2548,2423,1232,1129,229,208,8,10,3,10,73,61,108,103,811,737,865,769,93,86,277,249,758,701,788,711
050,15,001,Hawaii,Hawaii County,3,3,11512,5884,5628,1145,1120,38,29,29,31,952,820,947,818,2773,2810,3310,3305,208,227,421,433,3332,3193,3003,2895,4836,4584,950,903,30,25,17,17,889,761,860,747,2090,2131,2587,2564,152,161,174,207,2684,2562,2358,2279,1048,1044,195,217,8,4,12,14,63,59,87,71,683,679,723,741,56,66,247,226,648,631,645,616
050,15,001,Hawaii,Hawaii County,3,4,12019,6243,5776,1316,1211,43,45,21,29,1099,980,876,931,2888,2580,3555,3195,203,186,399,397,3492,3094,2994,2858,5160,4772,1108,998,34,37,11,15,1015,912,782,838,2210,1972,2827,2516,140,129,170,173,2849,2528,2374,2288,1083,1004,208,213,9,8,10,14,84,68,94,93,678,608,728,679,63,57,229,224,643,566,620,570
050,15,001,Hawaii,Hawaii County,3,5,10905,5587,5318,1418,1251,38,39,40,25,986,985,943,877,2162,2141,3066,2839,158,145,352,331,2626,2656,2457,2433,4754,4487,1165,1051,31,25,22,12,916,924,872,805,1748,1670,2501,2284,123,96,190,162,2247,2223,2090,2006,833,831,253,200,7,14,18,13,70,61,71,72,414,471,565,555,35,49,162,169,379,433,367,427
050,15,001,Hawaii,Hawaii County,3,6,11261,5621,5640,1724,1595,37,23,27,39,896,999,930,883,2007,2101,3194,3114,146,104,316,323,2399,2696,2328,2418,4860,4836,1485,1355,31,16,21,26,826,937,849,806,1648,1696,2688,2579,108,71,173,176,2069,2323,2013,2048,761,804,239,240,6,7,6,13,70,62,81,77,359,405,506,535,38,33,143,147,330,373,315,370
050,15,001,Hawaii,Hawaii County,3,7,11011,5541,5470,1808,1640,50,30,36,35,951,1082,865,817,1831,1866,3142,2980,143,100,320,300,2283,2519,2137,2183,4793,4715,1555,1374,41,18,14,22,904,1014,787,756,1492,1531,2629,2467,108,61,173,172,2014,2204,1838,1893,748,755,253,266,9,12,22,13,47,68,78,61,339,335,513,513,35,39,147,128,269,315,299,290
050,15,001,Hawaii,Hawaii County,3,8,10435,5241,5194,1780,1572,40,39,43,51,1117,1272,760,684,1501,1576,2842,2697,102,79,267,288,2212,2472,1791,1793,4615,4543,1531,1357,36,36,27,32,1045,1203,711,632,1265,1283,2426,2272,75,66,167,159,1978,2183,1600,1560,626,651,249,215,4,3,16,19,72,69,49,52,236,293,416,425,27,13,100,129,234,289,191,233
050,15,001,Hawaii,Hawaii County,3,9,10877,5460,5417,2100,1799,46,27,40,30,1165,1496,699,624,1410,1441,3052,2824,96,60,252,220,2171,2533,1691,1700,4895,4814,1881,1591,37,22,26,15,1106,1420,655,586,1190,1180,2671,2427,76,46,147,118,1967,2270,1530,1485,565,603,219,208,9,5,14,15,59,76,44,38,220,261,381,397,20,14,105,102,204,263,161,215
050,15,001,Hawaii,Hawaii County,3,10,12539,6206,6333,2472,2417,61,24,45,44,1451,1629,780,750,1397,1469,3382,3369,92,54,270,248,2389,2672,1815,1876,5613,5790,2227,2211,57,23,21,27,1386,1565,725,706,1197,1258,2987,3018,79,44,149,145,2207,2474,1650,1691,593,543,245,206,4,1,24,17,65,64,55,44,200,211,395,351,13,10,121,103,182,198,165,185
050,15,001,Hawaii,Hawaii County,3,11,14765,7303,7462,3157,3258,88,29,50,49,1829,1929,854,748,1325,1449,4004,4201,130,62,264,306,2704,2907,1787,1780,6754,6879,2927,3027,77,25,32,29,1748,1848,807,702,1163,1248,3663,3829,105,47,186,201,2532,2706,1650,1617,549,583,230,231,11,4,18,20,81,81,47,46,162,201,341,372,25,15,78,105,172,201,137,163
050,15,001,Hawaii,Hawaii County,3,12,15782,7812,7970,4010,3935,56,39,50,49,1889,2015,668,688,1139,1244,4731,4772,95,66,271,286,2602,2795,1465,1572,7368,7512,3801,3723,51,34,32,29,1823,1959,636,658,1025,1109,4441,4465,87,51,209,208,2463,2662,1369,1464,444,458,209,212,5,5,18,20,66,56,32,30,114,135,290,307,8,15,62,78,139,133,96,108
050,15,001,Hawaii,Hawaii County,3,13,13776,7209,6567,4080,3423,62,24,29,34,1649,1751,492,433,897,902,4656,4066,91,48,209,187,2176,2290,1108,1066,6838,6233,3887,3263,59,21,14,23,1588,1683,468,413,822,830,4412,3853,81,35,159,143,2078,2185,1046,1013,371,334,193,160,3,3,15,11,61,68,24,20,75,72,244,213,10,13,50,44,98,105,62,53
050,15,001,Hawaii,Hawaii County,3,14,9310,4801,4509,2577,2217,39,14,27,17,1240,1312,360,325,558,624,2935,2631,53,27,84,103,1573,1679,806,808,4554,4293,2456,2106,36,13,15,13,1199,1277,343,318,505,566,2774,2478,45,20,55,75,1498,1612,763,774,247,216,121,111,3,1,12,4,41,35,17,7,53,58,161,153,8,7,29,28,75,67,43,34
050,15,001,Hawaii,Hawaii County,3,15,5914,2898,3016,1438,1279,14,15,16,10,874,1070,222,254,334,388,1645,1525,29,25,63,47,1064,1305,481,569,2765,2841,1382,1196,13,13,9,5,852,1031,210,246,299,350,1564,1416,25,20,46,36,1018,1242,449,535,133,175,56,83,1,2,7,5,22,39,12,8,35,38,81,109,4,5,17,11,46,63,32,34
050,15,001,Hawaii,Hawaii County,3,16,4587,2108,2479,964,904,7,6,10,6,764,1089,147,174,216,300,1101,1102,13,16,30,36,880,1248,326,414,2000,2358,900,851,7,5,6,3,746,1064,141,164,200,271,1025,1030,12,13,23,18,855,1208,309,394,108,121,64,53,0,1,4,3,18,25,6,10,16,29,76,72,1,3,7,18,25,40,17,20
050,15,001,Hawaii,Hawaii County,3,17,3684,1586,2098,628,727,9,5,2,5,713,1068,84,120,150,173,719,837,19,16,23,22,795,1152,197,258,1531,2033,602,692,9,4,2,5,698,1056,84,113,136,163,686,798,17,15,21,18,771,1133,189,246,55,65,26,35,0,1,0,0,15,12,0,7,14,10,33,39,2,1,2,4,24,19,8,12
050,15,001,Hawaii,Hawaii County,3,18,3646,1400,2246,485,825,2,2,2,5,788,1211,48,88,75,115,536,904,5,6,12,17,823,1266,103,177,1364,2189,465,789,2,2,2,3,776,1198,48,87,71,110,514,865,5,5,9,13,810,1250,101,175,36,57,20,36,0,0,0,2,12,13,0,1,4,5,22,39,0,1,3,4,13,16,2,2
050,15,001,Hawaii,Hawaii County,4,0,187066,93609,93457,33043,31094,735,458,498,515,19846,22262,12169,11587,27318,27541,53165,51411,2231,1834,4537,4568,40781,43580,32088,31990,82619,82516,29846,27940,629,361,281,303,18845,21264,11199,10668,21819,21980,45750,44042,1648,1247,2384,2431,35503,38180,27054,26977,10990,10941,3197,3154,106,97,217,212,1001,998,970,919,5499,5561,7415,7369,583,587,2153,2137,5278,5400,5034,5013
050,15,001,Hawaii,Hawaii County,4,1,11999,6152,5847,1068,991,47,35,23,25,669,653,1115,1041,3230,3102,3698,3547,357,325,554,580,3454,3334,3598,3397,4626,4376,807,743,35,19,11,10,580,567,971,889,2222,2148,2631,2521,212,177,189,219,2479,2431,2613,2485,1526,1471,261,248,12,16,12,15,89,86,144,152,1008,954,1067,1026,145,148,365,361,975,903,985,912
050,15,001,Hawaii,Hawaii County,4,2,11494,6011,5483,1063,884,24,22,17,27,771,686,1079,1015,3057,2849,3454,3098,262,263,467,439,3402,3168,3396,3177,4768,4337,850,678,14,11,14,15,690,628,963,907,2237,2098,2598,2312,178,171,183,180,2625,2450,2594,2452,1243,1146,213,206,10,11,3,12,81,58,116,108,820,751,856,786,84,92,284,259,777,718,802,725
050,15,001,Hawaii,Hawaii County,4,3,11455,5839,5616,1076,1051,38,26,29,20,921,855,968,841,2807,2823,3269,3240,201,227,410,409,3337,3253,3063,2928,4789,4595,888,844,30,23,17,11,863,794,885,765,2106,2158,2532,2525,151,159,170,191,2680,2629,2393,2309,1050,1021,188,207,8,3,12,9,58,61,83,76,701,665,737,715,50,68,240,218,657,624,670,619
050,15,001,Hawaii,Hawaii County,4,4,11699,6024,5675,1200,1180,42,44,24,34,1054,928,877,908,2827,2581,3447,3213,185,195,413,433,3398,3024,2940,2798,4952,4658,1003,963,34,37,10,16,976,870,785,824,2144,1948,2721,2506,133,134,178,196,2753,2449,2319,2232,1072,1017,197,217,8,7,14,18,78,58,92,84,683,633,726,707,52,61,235,237,645,575,621,566
050,15,001,Hawaii,Hawaii County,4,5,11161,5687,5474,1389,1221,39,40,34,18,1040,1058,956,927,2229,2210,3089,2866,168,159,351,333,2748,2814,2526,2538,4831,4627,1140,1019,31,27,20,9,962,999,880,842,1798,1731,2512,2294,125,109,187,162,2353,2371,2136,2093,856,847,249,202,8,13,14,9,78,59,76,85,431,479,577,572,43,50,164,171,395,443,390,445
050,15,001,Hawaii,Hawaii County,4,6,11206,5599,5607,1642,1578,43,25,38,38,919,972,969,936,1988,2058,3124,3070,148,108,331,309,2416,2642,2356,2442,4849,4824,1425,1336,38,20,25,26,859,914,884,862,1618,1666,2625,2544,110,82,170,165,2087,2275,2028,2080,750,783,217,242,5,5,13,12,60,58,85,74,370,392,499,526,38,26,161,144,329,367,328,362
